intent,utterance,data
PlayMusic,Play a 2009 concerto on Deezer.,"[{'text': 'Play a '}, {'text': '2009', 'entity': 'year'}, {'text': ' '}, {'text': 'concerto', 'entity': 'music_item'}, {'text': ' on '}, {'text': 'Deezer', 'entity': 'service'}, {'text': '.'}]"
PlayMusic,Can you play a sonata,"[{'text': 'Can you play a '}, {'text': 'sonata', 'entity': 'genre'}]"
PlayMusic,Play music from Lastfm.,"[{'text': 'Play music from '}, {'text': 'Lastfm', 'entity': 'service'}, {'text': '.'}]"
PlayMusic,Play music from the track My Friend on Google Music by Steve Sholes,"[{'text': 'Play music from the '}, {'text': 'track', 'entity': 'music_item'}, {'text': ' '}, {'text': 'My Friend', 'entity': 'track'}, {'text': ' on '}, {'text': 'Google Music', 'entity': 'service'}, {'text': ' by '}, {'text': 'Steve Sholes', 'entity': 'artist'}]"
PlayMusic,Play the latest Joan Baez.,"[{'text': 'Play the '}, {'text': 'latest', 'entity': 'sort'}, {'text': ' '}, {'text': 'Joan Baez', 'entity': 'artist'}, {'text': '.'}]"
PlayMusic,I want to hear a Joel Hastings melody. ,"[{'text': 'I want to hear a '}, {'text': 'Joel Hastings', 'entity': 'artist'}, {'text': ' '}, {'text': 'melody', 'entity': 'music_item'}, {'text': '. '}]"
PlayMusic,Play me some Badass Women on Groove Shark,"[{'text': 'Play me some '}, {'text': 'Badass Women', 'entity': 'playlist'}, {'text': ' on '}, {'text': 'Groove Shark', 'entity': 'service'}]"
PlayMusic,Play a song off the Nicht Sprechen album,"[{'text': 'Play a '}, {'text': 'song', 'entity': 'music_item'}, {'text': ' off the '}, {'text': 'Nicht Sprechen', 'entity': 'album'}, {'text': ' '}, {'text': 'album', 'entity': 'music_item'}]"
PlayMusic,On Itunes play the latest Anna Yesipova ep,"[{'text': 'On '}, {'text': 'Itunes', 'entity': 'service'}, {'text': ' play the '}, {'text': 'latest', 'entity': 'sort'}, {'text': ' '}, {'text': 'Anna Yesipova', 'entity': 'artist'}, {'text': ' '}, {'text': 'ep', 'entity': 'music_item'}]"
PlayMusic,Play Shoo on iheart from greatest record,"[{'text': 'Play '}, {'text': 'Shoo', 'entity': 'artist'}, {'text': ' on '}, {'text': 'iheart', 'entity': 'service'}, {'text': ' from '}, {'text': 'greatest', 'entity': 'sort'}, {'text': ' '}, {'text': 'record', 'entity': 'music_item'}]"
PlayMusic,Open Deezer and play Inyeccion Musical,"[{'text': 'Open '}, {'text': 'Deezer', 'entity': 'service'}, {'text': ' and play '}, {'text': 'Inyeccion Musical', 'entity': 'playlist'}]"
PlayMusic,Use Google Music to play a song,"[{'text': 'Use '}, {'text': 'Google Music', 'entity': 'service'}, {'text': ' to play a '}, {'text': 'song', 'entity': 'music_item'}]"
PlayMusic,Play all music Alan released in 1997,"[{'text': 'Play all music '}, {'text': 'Alan', 'entity': 'artist'}, {'text': ' released in '}, {'text': '1997', 'entity': 'year'}]"
PlayMusic,Play music on youtube,"[{'text': 'Play music on '}, {'text': 'youtube', 'entity': 'service'}]"
PlayMusic,Open Groove Shark and play sound track from Dj Cameo,"[{'text': 'Open '}, {'text': 'Groove Shark', 'entity': 'service'}, {'text': ' and play '}, {'text': 'sound track', 'entity': 'music_item'}, {'text': ' from '}, {'text': 'Dj Cameo', 'entity': 'artist'}]"
PlayMusic,Play the top 20 ep from the fifties by John Bundrick.,"[{'text': 'Play the '}, {'text': 'top 20', 'entity': 'sort'}, {'text': ' '}, {'text': 'ep', 'entity': 'music_item'}, {'text': ' from the '}, {'text': 'fifties', 'entity': 'year'}, {'text': ' by '}, {'text': 'John Bundrick', 'entity': 'artist'}, {'text': '.'}]"
PlayMusic,Open Lastfm and play a voluntad del cielo from Wax,"[{'text': 'Open '}, {'text': 'Lastfm', 'entity': 'service'}, {'text': ' and play '}, {'text': 'a voluntad del cielo', 'entity': 'album'}, {'text': ' from '}, {'text': 'Wax', 'entity': 'artist'}]"
PlayMusic,play some fifties tunes by Mike Mccready,"[{'text': 'play some '}, {'text': 'fifties', 'entity': 'year'}, {'text': ' tunes by '}, {'text': 'Mike Mccready', 'entity': 'artist'}]"
PlayMusic,play ambient music,"[{'text': 'play '}, {'text': 'ambient', 'entity': 'genre'}, {'text': ' music'}]"
PlayMusic,play Asia Nitollano using itunes,"[{'text': 'play '}, {'text': 'Asia Nitollano', 'entity': 'artist'}, {'text': ' using '}, {'text': 'itunes', 'entity': 'service'}]"
PlayMusic,I want to hear Choice on Last Fm from the twenties.,"[{'text': 'I want to hear '}, {'text': 'Choice', 'entity': 'artist'}, {'text': ' on '}, {'text': 'Last Fm', 'entity': 'service'}, {'text': ' from the '}, {'text': 'twenties', 'entity': 'year'}, {'text': '.'}]"
PlayMusic,Play music from 1969 on lastfm .,"[{'text': 'Play music from '}, {'text': '1969', 'entity': 'year'}, {'text': ' on '}, {'text': 'lastfm', 'entity': 'service'}, {'text': ' .'}]"
PlayMusic,Play any chanson,"[{'text': 'Play any '}, {'text': 'chanson', 'entity': 'genre'}]"
PlayMusic,Play Adrian Borland's music on Zvooq.,"[{'text': 'Play '}, {'text': 'Adrian Borland', 'entity': 'artist'}, {'text': ""'s music on ""}, {'text': 'Zvooq', 'entity': 'service'}, {'text': '.'}]"
PlayMusic,Play fifties music,"[{'text': 'Play '}, {'text': 'fifties', 'entity': 'year'}, {'text': ' music'}]"
PlayMusic,Play the most popular Johnny Clarke on Deezer.,"[{'text': 'Play the '}, {'text': 'most popular', 'entity': 'sort'}, {'text': ' '}, {'text': 'Johnny Clarke', 'entity': 'artist'}, {'text': ' on '}, {'text': 'Deezer', 'entity': 'service'}, {'text': '.'}]"
PlayMusic,play The Happiest Days Of Our Lives by Tommy Emmanuel,"[{'text': 'play '}, {'text': 'The Happiest Days Of Our Lives', 'entity': 'track'}, {'text': ' by '}, {'text': 'Tommy Emmanuel', 'entity': 'artist'}]"
PlayMusic,Play music in the genre soundtrack,"[{'text': 'Play music in the genre '}, {'text': 'soundtrack', 'entity': 'genre'}]"
PlayMusic,I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.,"[{'text': ""I'd like to listen to ""}, {'text': 'Tom Cochrane', 'entity': 'artist'}, {'text': ""'s ""}, {'text': '1990', 'entity': 'year'}, {'text': ' '}, {'text': 'ep', 'entity': 'music_item'}, {'text': ' on '}, {'text': 'Zvooq', 'entity': 'service'}, {'text': '.'}]"
PlayMusic,play Pandora Christian Gangsta Rap,"[{'text': 'play '}, {'text': 'Pandora', 'entity': 'service'}, {'text': ' '}, {'text': 'Christian Gangsta Rap', 'entity': 'genre'}]"
PlayMusic,Play the top 10 by Sankha Chatterjee.,"[{'text': 'Play the '}, {'text': 'top 10', 'entity': 'sort'}, {'text': ' by '}, {'text': 'Sankha Chatterjee', 'entity': 'artist'}, {'text': '.'}]"
PlayMusic,Play a twenties concerto from Roger Taylor on deezer,"[{'text': 'Play a '}, {'text': 'twenties', 'entity': 'year'}, {'text': ' '}, {'text': 'concerto', 'entity': 'music_item'}, {'text': ' from '}, {'text': 'Roger Taylor', 'entity': 'artist'}, {'text': ' on '}, {'text': 'deezer', 'entity': 'service'}]"
PlayMusic,Play music on Netflix.,"[{'text': 'Play music on '}, {'text': 'Netflix', 'entity': 'service'}, {'text': '.'}]"
PlayMusic,play Are & Be,"[{'text': 'play '}, {'text': 'Are & Be', 'entity': 'playlist'}]"
PlayMusic,play paul riley on Youtube,"[{'text': 'play '}, {'text': 'paul riley', 'entity': 'artist'}, {'text': ' on '}, {'text': 'Youtube', 'entity': 'service'}]"
PlayMusic,Play Tujiko Noriko's Ten Years And Running.,"[{'text': 'Play '}, {'text': 'Tujiko Noriko', 'entity': 'artist'}, {'text': ""'s ""}, {'text': 'Ten Years And Running', 'entity': 'album'}, {'text': '.'}]"
PlayMusic,Can I hear tod ashley music from 1953?,"[{'text': 'Can I hear '}, {'text': 'tod ashley', 'entity': 'artist'}, {'text': ' music from '}, {'text': '1953', 'entity': 'year'}, {'text': '?'}]"
PlayMusic,play wendy james from the fifties,"[{'text': 'play '}, {'text': 'wendy james', 'entity': 'artist'}, {'text': ' from the '}, {'text': 'fifties', 'entity': 'year'}]"
PlayMusic,play a movement from top-20 1983 by Baruch Chait,"[{'text': 'play a '}, {'text': 'movement', 'entity': 'music_item'}, {'text': ' from '}, {'text': 'top-20', 'entity': 'sort'}, {'text': ' '}, {'text': '1983', 'entity': 'year'}, {'text': ' by '}, {'text': 'Baruch Chait', 'entity': 'artist'}]"
PlayMusic,Play While The Gate Is Open.,"[{'text': 'Play '}, {'text': 'While The Gate Is Open', 'entity': 'album'}, {'text': '.'}]"
PlayMusic,play Deezer form 2010 tune by Dave Grohl,"[{'text': 'play '}, {'text': 'Deezer', 'entity': 'service'}, {'text': ' form '}, {'text': '2010', 'entity': 'year'}, {'text': ' '}, {'text': 'tune', 'entity': 'music_item'}, {'text': ' by '}, {'text': 'Dave Grohl', 'entity': 'artist'}]"
PlayMusic,play Vanlose Stairway by Janove Ottesen,"[{'text': 'play '}, {'text': 'Vanlose Stairway', 'entity': 'track'}, {'text': ' by '}, {'text': 'Janove Ottesen', 'entity': 'artist'}]"
PlayMusic,Play some music from 1995,"[{'text': 'Play some music from '}, {'text': '1995', 'entity': 'year'}]"
PlayMusic,Play some Mark Tremonti from the thirties.,"[{'text': 'Play some '}, {'text': 'Mark Tremonti', 'entity': 'artist'}, {'text': ' from the '}, {'text': 'thirties', 'entity': 'year'}, {'text': '.'}]"
PlayMusic,Play Geddy Lee music on Spotify sort by top,"[{'text': 'Play '}, {'text': 'Geddy Lee', 'entity': 'artist'}, {'text': ' music on '}, {'text': 'Spotify', 'entity': 'service'}, {'text': ' sort by '}, {'text': 'top', 'entity': 'sort'}]"
PlayMusic,play something from the twenties,"[{'text': 'play something from the '}, {'text': 'twenties', 'entity': 'year'}]"
PlayMusic,Play 1966 theme music on Slacker.,"[{'text': 'Play '}, {'text': '1966', 'entity': 'year'}, {'text': ' '}, {'text': 'theme', 'entity': 'music_item'}, {'text': ' music on '}, {'text': 'Slacker', 'entity': 'service'}, {'text': '.'}]"
PlayMusic,play Itunes album mondovisione,"[{'text': 'play '}, {'text': 'Itunes', 'entity': 'service'}, {'text': ' '}, {'text': 'album', 'entity': 'music_item'}, {'text': ' '}, {'text': 'mondovisione', 'entity': 'album'}]"
